store_number,recency,frequency,monetary_value
4106,12,543,25770.809999999987
4107,1,2453,397994.77999999985
4110,4,1133,159538.64999999994
4116,4,665,85072.460000000036
4119,9,417,87590.999999999985
4126,4,1136,161204.71000000002
4129,1,8951,1175878.3299999998
4130,10,247,30663.63
4131,4,1780,386252.32999999984
4132,4,874,109924.74000000003
4135,2,2251,400329.70000000013
4136,1,1959,597946.80999999994
4137,3,1325,159634.58000000005
4138,4,1236,187470.9500000001
4140,1,1924,328908.20999999996
4143,4,714,136581.67
4146,4,963,196455.34000000008
4147,2,2182,302647.9200000001
4148,3,1799,223976.5
4149,4,1055,155132.43000000002
4150,2,1292,195477.49999999997
4152,4,5473,255146.39000000007
4153,3,1888,173732.62000000002
4154,10,969,165952.76000000004
4155,1,750,225032.68000000008
4156,3,2008,280101.53999999992
4157,5,1549,188043.29999999996
4158,4,1609,237440.75000000003
4159,1,1338,263705.94000000018
4160,3,929,146045.31000000003
4161,3,1295,196512.88000000003
4162,4,1654,324263.7699999999
4163,4,804,165452.74000000002
4169,1,5863,413888.98999999993
4171,1,1029,97098.309999999969
4172,12,561,62757.090000000004
4180,1,3625,147880.08
4182,1,1297,249960.08000000005
4183,1,1701,275563.06999999989
4184,4,1014,139059.10999999996
4185,4,1973,289719.75999999989
4186,1,1056,165055.94000000003
4189,3,1438,229053.98999999993
4190,4,1694,200747.76000000004
4191,3,774,108241.8
4192,4,1110,315062.0400000001
4194,3,1335,177763.14999999997
4195,4,1529,102619.83000000005
4196,4,1293,612251.98999999976
4197,2,1451,217547.12999999998
4200,2,1362,258915.29000000004
4201,2,1528,556819.63999999966
4202,2,1203,239107.91000000018
4203,4,2196,283584.66000000009
4204,4,1381,296449.51999999996
4205,4,1189,173738.69
4209,1,2287,456565.00999999989
4210,12,167,45174.719999999972
4228,1,1318,231939.10999999996
4229,4,1413,285531.76999999984
4230,5,943,133173.76
4231,4,1252,284913.94000000012
4232,1,642,97004.319999999963
4233,4,1193,134515.01
4234,3,637,154167.16999999995
4235,1,651,103029.35
4236,3,971,169415.91000000003
4239,3,1639,359015.39999999997
4246,1,1095,153467.78
4247,3,1108,151869.98
4248,4,546,120408.88999999997
4249,1,708,91268.810000000027
4250,4,869,115220.88999999997
4252,1,873,158241.82999999996
4253,4,1209,207629.42
4254,3,744,102624.9
4255,4,1208,340140.32000000012
4256,4,1200,278785.94999999995
4258,1,1174,270557.13999999996
4260,4,1729,322329.01000000007
4265,3,2255,374684.60000000009
4266,1,470,74403.319999999992
4267,1,886,34973.340000000011
4268,3,1046,101682.56999999996
4269,4,3415,379154.49
4271,1,1582,209780.9499999999
4272,3,1125,125731.36
4273,1,5151,140360.84999999998
4275,1,1151,286094.89999999991
4277,4,2023,330304.8299999999
4279,3,465,34469.489999999983
4284,4,625,137387.61000000007
4285,4,1650,279053.45999999996
4289,1,635,65418.729999999981
4291,1,4099,545160.56
4296,3,1651,102412.31000000003
4299,1,1403,163990.99000000008
4300,3,1728,311766.35
4301,1,1941,507810.10999999993
4306,4,1624,80929.020000000019
4310,4,1343,135680.91999999998
4311,1,1142,221568.38999999996
4312,3,3812,3449733.0
4313,1,961,135279.46000000002
4315,3,425,82528.949999999968
4317,1,1528,152033.82000000004
4318,1,1575,238191.41
4319,1,891,99155.880000000019
4320,1,1717,266864.47000000003
4321,4,780,84699.86
4324,1,359,45260.869999999995
4326,1,486,36880.0
4334,1,1864,383346.16
4336,11,1088,66034.469999999987
4337,4,1107,141962.31000000006
4338,235,29,9395.6999999999989
4346,1,2298,116149.90999999999
4351,2,194,16905.039999999997
4353,2,550,53895.830000000009
4355,4,942,63307.219999999994
4359,2,825,48665.340000000011
4361,1,1707,86798.540000000023
4362,36,323,33750.590000000011
4364,18,423,31411.850000000002
4365,4,367,35041.720000000023
4366,4,1430,58071.36000000003
4368,2,682,59252.849999999977
4369,1,1129,80987.209999999977
4370,1,1481,74145.160000000018
4371,5,1204,77984.56
4373,89,1344,59801.180000000022
4374,1,1513,58930.260000000038
4375,1,1393,76729.930000000008
4377,1,1435,47050.339999999982
4378,1,1573,97219.24000000002
4379,5,1090,59155.590000000004
4380,4,403,34062.30999999999
4382,2,1380,92742.630000000019
4384,1,619,55979.820000000014
4385,11,828,43454.420000000013
4387,17,474,45867.600000000006
4393,2,1332,58446.969999999994
4395,4,865,73454.239999999976
4396,11,321,43839.62
4397,2,1309,34666.11
4401,15,412,44012.170000000006
4402,1,793,66457.590000000011
4404,2,841,57004.82999999998
4405,2,797,52432.509999999987
4406,2,761,95515.640000000043
4411,1,672,59409.35
4412,12,530,50556.569999999985
4414,15,607,50958.37
4417,1,610,50899.80000000001
4418,22,229,20044.989999999991
4419,22,304,26944.160000000003
4421,96,231,22437.999999999993
4424,1,368,47222.63
4427,11,864,33023.08
4428,2,2271,92606.820000000036
4429,3,602,52768.960000000014
4433,2,485,37074.149999999994
4436,2,638,56241.63
